Sample.ID,Interval,Texture,Stage,Combo,TMX,,,,,,,,,,,,,
nk-v1-1,0-30 cm,Sand,V1,Sandy-V1,137.8963783,,,,,,,,,,,,,
nk-v1-2,0-30 cm,Sand,V1,Sandy-V1,59.80276798,,,,,,,,,,,,,
nk-v1-3,0-30 cm,Sand,V1,Sandy-V1,49.96348936,,,,,,,,,,,,,
nk-v1-4,0-30 cm,Sand,V1,Sandy-V1,54.77381124,,,,,,,,,,,,,
nk-v3-1,0-30 cm,Sand,V3,Sandy-V3,37.85253621,,,,,,,,,,,,,
nk-v3-2,0-30 cm,Sand,V3,Sandy-V3,26.46194194,,,,,,,,,,,,,
nk-v3-3,0-30 cm,Sand,V3,Sandy-V3,25.08356679,,,,,,,,,,,,,
nk-v3-4,0-30 cm,Sand,V3,Sandy-V3,19.094713,,,,,,,,,,,,,
nk-v5-2,0-30 cm,Sand,V5,Sandy-V5,26.90342327,,,,,,,,,,,,,
nk-v5-3,0-30 cm,Sand,V5,Sandy-V5,35.28766803,,,,,,,,,,,,,
nk-v5-4,0-30 cm,Sand,V5,Sandy-V5,43.89306432,,,,,,,,,,,,,
nk-v5-5,0-30 cm,Sand,V5,Sandy-V5,32.00291737,,,,,,,,,,,,,
nk-v5-ctr-1,0-30 cm,Sand,V5.Ctr,Sandy-V5-Ctr,31.85301468,,,,,,,,,,,,,
nk-v5-ctr-2,0-30 cm,Sand,V5.Ctr,Sandy-V5-Ctr,30.10013107,,,,,,,,,,,,,
nk-v5-ctr-3,0-30 cm,Sand,V5.Ctr,Sandy-V5-Ctr,29.14373471,,,,,,,,,,,,,
nk-v5-ctr-4,0-30 cm,Sand,V5.Ctr,Sandy-V5-Ctr,28.92091052,,,,,,,,,,,,,
nk-v5-ctr-5,0-30 cm,Sand,V5.Ctr,Sandy-V5-Ctr,28.9715921,,,,,,,,,,,,,
kf-v1-1,0-30 cm,Clay,V1,Clay-V1,19.36382834,,,,,,,,,,,,,
kf-v1-2,0-30 cm,Clay,V1,Clay-V1,31.20382303,,,,,,,,,,,,,
kf-v1-3,0-30 cm,Clay,V1,Clay-V1,20.07080273,,,,,,,,,,,,,
kf-v1-4,0-30 cm,Clay,V1,Clay-V1,102.8842113,,,,,,,,,,,,,
kf-v3-2,0-30 cm,Clay,V3,Clay-V3,16.26494606,,,,,,,,,,,,,
kf-v3-3,0-30 cm,Clay,V3,Clay-V3,16.08911009,,,,,,,,,,,,,
kf-v3-4,0-30 cm,Clay,V3,Clay-V3,19.63116171,,,,,,,,,,,,,
kf-v5-2,0-30 cm,Clay,V5,Clay-V5,15.17227415,,,,,,,,,,,,,
kf-v5-3,0-30 cm,Clay,V5,Clay-V5,13.26719104,,,,,,,,,,,,,
kf-v5-4,0-30 cm,Clay,V5,Clay-V5,14.6143363,,,,,,,,,,,,,
kf-v5-5,0-30 cm,Clay,V5,Clay-V5,15.08048904,,,,,,,,,,,,,
kf-v5-ctr-1,0-30 cm,Clay,V5.Ctr,Clay-V5-Ctr,25.0417032,,,,,,,,,,,,,
kf-v5-ctr-2,0-30 cm,Clay,V5.Ctr,Clay-V5-Ctr,22.0041219,,,,,,,,,,,,,
kf-v5-ctr-4,0-30 cm,Clay,V5.Ctr,Clay-V5-Ctr,29.70612142,,,,,,,,,,,,,
kf-v5-ctr-5  ,0-30 cm,Clay,V5.Ctr,Clay-V5-Ctr,25.21876897,,,,,,,,,,,,,
nk-v1-1,30-45 cm,Sand,V1,Sandy-V1,0.719101997,,,,,,,,,,,,,
nk-v1-2,30-45 cm,Sand,V1,Sandy-V1,0.599909921,,,,,,,,,,,,,
nk-v1-3,30-45 cm,Sand,V1,Sandy-V1,0.599724191,,,,,,,,,,,,,
nk-v1-4,30-45 cm,Sand,V1,Sandy-V1,0.476213899,,,,,,,,,,,,,
nk-v3-1,30-45 cm,Sand,V3,Sandy-V3,0.11,,,,,,,,,,,,,
nk-v3-2,30-45 cm,Sand,V3,Sandy-V3,0.13,,,,,,,,,,,,,
nk-v3-3,30-45 cm,Sand,V3,Sandy-V3,0.14,,,,,,,,,,,,,
nk-v3-4,30-45 cm,Sand,V3,Sandy-V3,0.15,,,,,,,,,,,,,
nk-v5-2,30-45 cm,Sand,V5,Sandy-V5,12.03,,,,,,,,,,,,,
nk-v5-3,30-45 cm,Sand,V5,Sandy-V5,11.42,,,,,,,,,,,,,
nk-v5-4,30-45 cm,Sand,V5,Sandy-V5,8.68,,,,,,,,,,,,,
nk-v5-5,30-45 cm,Sand,V5,Sandy-V5,9.09,,,,,,,,,,,,,
nk-v5-ctr-1,30-45 cm,Sand,V5.Ctr,Sandy-V5-Ctr,1.14,,,,,,,,,,,,,
nk-v5-ctr-2,30-45 cm,Sand,V5.Ctr,Sandy-V5-Ctr,4.84,,,,,,,,,,,,,
nk-v5-ctr-3,30-45 cm,Sand,V5.Ctr,Sandy-V5-Ctr,1.76,,,,,,,,,,,,,
nk-v5-ctr-4,30-45 cm,Sand,V5.Ctr,Sandy-V5-Ctr,1.69,,,,,,,,,,,,,
nk-v5-ctr-5,30-45 cm,Sand,V5.Ctr,Sandy-V5-Ctr,11.92,,,,,,,,,,,,,
nk-v1-1,30-45 cm,Clay,V1,Clay-V1,0.338332766,,,,,,,,,,,,,
nk-v1-2,30-45 cm,Clay,V1,Clay-V1,0.300304597,,,,,,,,,,,,,
nk-v1-3,30-45 cm,Clay,V1,Clay-V1,0.223621421,,,,,,,,,,,,,
nk-v1-4,30-45 cm,Clay,V1,Clay-V1,0.368304906,,,,,,,,,,,,,
kf-v3-2,30-45 cm,Clay,V3,Clay-V3,0.15,,,,,,,,,,,,,
kf-v3-3,30-45 cm,Clay,V3,Clay-V3,0.17,,,,,,,,,,,,,
kf-v3-4,30-45 cm,Clay,V3,Clay-V3,0.20,,,,,,,,,,,,,
kf-v5-1 ,30-45 cm,Clay,V5,Clay-V5,5.54,,,,,,,,,,,,,
kf-v5-2,30-45 cm,Clay,V5,Clay-V5,4.05,,,,,,,,,,,,,
kf-v5-3,30-45 cm,Clay,V5,Clay-V5,4.73,,,,,,,,,,,,,
kf-v5-4,30-45 cm,Clay,V5,Clay-V5,5.11,,,,,,,,,,,,,
kf-v5-ctr-1 ,30-45 cm,Clay,V5.Ctr,Clay-V5-Ctr,3.16,,,,,,,,,,,,,
kf-v5-ctr-2,30-45 cm,Clay,V5.Ctr,Clay-V5-Ctr,0.81,,,,,,,,,,,,,
kf-v5-ctr-4,30-45 cm,Clay,V5.Ctr,Clay-V5-Ctr,1.63,,,,,,,,,,,,,
kf-v5-ctr-5  ,30-45 cm,Clay,V5.Ctr,Clay-V5-Ctr,3.75,,,,,,,,,,,,,
nk-v1-1,45-60 cm,Sand,V1,Sandy-V1,0.352564309,,,,,,,,,,,,,
nk-v1-2,45-60 cm,Sand,V1,Sandy-V1,0.221137285,,,,,,,,,,,,,
nk-v1-3,45-60 cm,Sand,V1,Sandy-V1,0.347224578,,,,,,,,,,,,,
nk-v1-4,45-60 cm,Sand,V1,Sandy-V1,0.262833617,,,,,,,,,,,,,
nk-v3-1,45-60 cm,Sand,V3,Sandy-V3,0.237591941,,,,,,,,,,,,,
nk-v3-2,45-60 cm,Sand,V3,Sandy-V3,0.16576742,,,,,,,,,,,,,
nk-v3-3,45-60 cm,Sand,V3,Sandy-V3,0.260897658,,,,,,,,,,,,,
nk-v3-4,45-60 cm,Sand,V3,Sandy-V3,0.202126721,,,,,,,,,,,,,
nk-v5-2,45-60 cm,Sand,V5,Sandy-V5,0.325374869,,,,,,,,,,,,,
nk-v5-3,45-60 cm,Sand,V5,Sandy-V5,0.411664628,,,,,,,,,,,,,
nk-v5-4,45-60 cm,Sand,V5,Sandy-V5,0.164897763,,,,,,,,,,,,,
nk-v5-5,45-60 cm,Sand,V5,Sandy-V5,0.282426599,,,,,,,,,,,,,
nk-v5-ctr-1,45-60 cm,Sand,V5.Ctr,Sandy-V5-Ctr,0.100103985,,,,,,,,,,,,,
nk-v5-ctr-2,45-60 cm,Sand,V5.Ctr,Sandy-V5-Ctr,0.096696085,,,,,,,,,,,,,
nk-v5-ctr-3,45-60 cm,Sand,V5.Ctr,Sandy-V5-Ctr,0.29147064,,,,,,,,,,,,,
nk-v5-ctr-4,45-60 cm,Sand,V5.Ctr,Sandy-V5-Ctr,1.100060294,,,,,,,,,,,,,
nk-v5-ctr-5,45-60 cm,Sand,V5.Ctr,Sandy-V5-Ctr,0.9,,,,,,,,,,,,,
kf-v1-1,45-60 cm,Clay,V1,Clay-V1,0.268150132,,,,,,,,,,,,,
kf-v1-2,45-60 cm,Clay,V1,Clay-V1,0.193742145,,,,,,,,,,,,,
kf-v1-3,45-60 cm,Clay,V1,Clay-V1,0.166695248,,,,,,,,,,,,,
kf-v1-4,45-60 cm,Clay,V1,Clay-V1,0.180485683,,,,,,,,,,,,,
kf-v3-2,45-60 cm,Clay,V3,Clay-V3,0.10,,,,,,,,,,,,,
kf-v3-3,45-60 cm,Clay,V3,Clay-V3,0.14,,,,,,,,,,,,,
kf-v3-4,45-60 cm,Clay,V3,Clay-V3,0.11,,,,,,,,,,,,,
kf-v5-1  ,45-60 cm,Clay,V5,Clay-V5,2.22,,,,,,,,,,,,,
kf-v5-2,45-60 cm,Clay,V5,Clay-V5,0.53,,,,,,,,,,,,,
kf-v5-4 ,45-60 cm,Clay,V5,Clay-V5,0.73,,,,,,,,,,,,,
kf-v5-5,45-60 cm,Clay,V5,Clay-V5,2.08,,,,,,,,,,,,,
kf-v5-ctr-1,45-60 cm,Clay,V5.Ctr,Clay-V5-Ctr,1.77,,,,,,,,,,,,,
kf-v5-ctr-2,45-60 cm,Clay,V5.Ctr,Clay-V5-Ctr,0.92,,,,,,,,,,,,,
kf-v5-ctr-4 ,45-60 cm,Clay,V5.Ctr,Clay-V5-Ctr,2.02,,,,,,,,,,,,,
kf-v5-ctr-5  ,45-60 cm,Clay,V5.Ctr,Clay-V5-Ctr,0.70,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
